gene_name,gene_id
AC002994.1,ENSG00000196861
AC003001.1,ENSG00000264517
AC003002.4,ENSG00000268133
AC003002.6,ENSG00000269533
AC003003.5,ENSG00000188477
AC003005.2,ENSG00000268266
AC003005.4,ENSG00000268107
AC003006.1,ENSG00000264453
AC003006.7,ENSG00000269026
AC003009.1,ENSG00000262011
AC003009.2,ENSG00000262235
AC003029.1,ENSG00000248594
AC003035.1,ENSG00000264331
AC003043.1,ENSG00000268413
AC003045.1,ENSG00000214684
AC003051.1,ENSG00000227517
AC003075.4,ENSG00000237773
AC003079.1,ENSG00000203505
AC003080.4,ENSG00000234358
AC003084.2,ENSG00000234826
AC003088.1,ENSG00000226965
AC003090.1,ENSG00000223561
AC003092.1,ENSG00000236453
AC003092.2,ENSG00000236938
AC003101.1,ENSG00000228768
AC003102.1,ENSG00000214921
AC003102.3,ENSG00000267750
AC003104.1,ENSG00000236194
AC003658.1,ENSG00000221278
AC003664.1,ENSG00000234634
AC003665.1,ENSG00000234494
AC003666.1,ENSG00000222133
AC003681.1,ENSG00000221736
AC003682.16,ENSG00000268392
AC003682.17,ENSG00000269097
AC003956.1,ENSG00000268564
AC003958.2,ENSG00000234859
AC003958.6,ENSG00000108516
AC003968.1,ENSG00000221418
AC003973.1,ENSG00000269615
AC003973.4,ENSG00000269504
AC003973.5,ENSG00000269199
AC003973.6,ENSG00000271095
AC003984.1,ENSG00000235139
AC003985.1,ENSG00000233824
AC003986.5,ENSG00000229533
AC003986.6,ENSG00000232821
AC003986.7,ENSG00000236536
AC003988.1,ENSG00000234223
AC003989.3,ENSG00000243621
AC003989.4,ENSG00000227948
AC003991.3,ENSG00000228113
AC004000.1,ENSG00000264952
AC004004.2,ENSG00000270317
AC004006.2,ENSG00000228711
AC004009.3,ENSG00000224322
AC004012.1,ENSG00000233942
AC004014.3,ENSG00000229603
AC004014.4,ENSG00000227968
AC004016.1,ENSG00000238976
AC004016.2,ENSG00000234999
AC004017.1,ENSG00000268948
AC004019.10,ENSG00000229492
AC004019.13,ENSG00000236754
AC004019.18,ENSG00000272675
AC004022.7,ENSG00000237160
AC004022.8,ENSG00000228751
AC004041.2,ENSG00000223442
AC004051.2,ENSG00000246774
AC004052.1,ENSG00000215999
AC004053.1,ENSG00000245384
AC004054.1,ENSG00000248984
